pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
371.829592,381.711701,192.810316,394.929278,228.900000,385.320000,464.628429,346.638870,418.940000,461.760000,327.990000,434.050000,262.216765,330.807625
369.376518,384.198714,191.540615,399.358992,227.970000,388.220000,465.998536,350.887768,419.641317,465.729990,327.940000,435.970000,261.053524,333.513158
370.312495,387.702550,190.905765,401.942991,226.930000,391.210000,467.368643,355.667777,419.910000,468.910000,327.990000,438.090000,258.339294,344.335293
372.772558,392.210600,189.318639,404.773086,225.960000,394.350000,469.423803,360.315009,419.970000,471.830000,327.910000,440.110000,258.339294,344.335293
376.798115,395.158170,188.683789,406.741847,225.010000,397.240000,471.307700,364.563907,419.860000,474.980000,327.870000,441.970000,257.563799,344.936522
369.796678,394.878021,187.414088,410.802418,223.900000,400.520000,470.922730,368.933709,419.980000,477.970000,327.970000,444.040000,257.176052,345.537752
370.973382,399.287382,185.985675,414.247750,222.940000,404.510000,472.205756,374.155948,419.870000,481.030000,328.030000,446.120000,256.788305,347.341441
373.915141,402.328320,185.350825,417.570035,222.040000,408.170000,473.488783,379.875543,419.950000,483.760000,328.060000,447.930000,256.400558,347.942671
377.837487,406.737681,185.192112,423.230225,221.010000,411.560000,474.766496,385.240872,419.860000,487.080000,328.010000,450.100000,254.849569,350.347590
377.249135,405.673353,184.398550,427.044700,220.300000,412.100000,474.893215,384.946142,419.920000,487.670000,328.000000,450.090000,254.849569,350.347590
377.837487,410.082714,183.922412,426.552510,219.710000,415.340000,476.287120,387.500465,420.050000,490.620000,327.970000,451.760000,254.074075,352.752509
379.210308,413.427746,183.604987,427.906033,219.030000,418.400000,477.174151,391.135462,416.506783,494.351866,328.110000,454.160000,253.686327,358.764805
380.078437,415.452917,182.652711,430.120890,218.060000,421.330000,478.694775,393.002083,414.417094,496.512007,328.170000,455.930000,253.686327,358.764805
380.650581,418.197422,182.493999,432.581842,217.020000,424.500000,479.835243,398.503701,413.720530,500.022237,327.840000,457.850000,252.523086,362.071569
381.002518,424.473010,181.700436,438.488126,216.000000,428.330000,483.003210,405.184237,413.720530,502.452397,328.120000,460.110000,252.135339,362.973413
